Item Name,Qty,Price (total) (USD),Item link,Notes
Raspberry Pi 4 (4GB),1,55.0,https://www.amazon.com/s?k=Raspberry+Pi+4+Model+B+4GB,
MKS XRIVE MINI Brushless Controller,3,150.0,https://www.aliexpress.com/item/1005008155597487.html,
AS5048A 14-bit SPI Encoder Module,3,36.0,https://www.aliexpress.com/item/1005009516781005.html,
Diametric Magnet (6mm x 2.5mm),3,3.0,https://www.aliexpress.com/item/1005010274977239.html,
4S LiPo Battery (14.8V 3000mAh 30C),1,25.0,https://www.aliexpress.com/item/1005011976582150.html,
XT60 Connector Pairs,2,2.0,https://www.aliexpress.com/item/33005787322.html,
USB-C 5V 3A Power Supply (Pi 4),1,10.0,https://www.amazon.com/dp/B07TYQRRNK,
120Ω Resistor Pack (CAN Bus),1,1.0,https://www.aliexpress.com/item/1005002239676296.html,
Twisted Pair CAN Bus Wire (1m),3,3.0,https://www.aliexpress.com/w/wholesale-twisted-pair-wire-24AWG.html,
Dupont Jumper Wire Set,1,3.0,https://www.aliexpress.com/w/wholesale-dupont-jumper-wire-40pin.html,
6810ZZ Bearing (50x65x7mm),12,30.0,https://www.aliexpress.com/item/32494018273.html,
6901ZZ Bearing (12x24x6mm),10,8.0,https://www.aliexpress.com/item/1005008555734467.html,
Steel Rod 8mm dia x 25mm (Housing),47,14.1,https://www.aliexpress.com/item/1005001880818414.html,
Steel Rod 6mm dia x 30mm (Output),12,3.0,https://www.aliexpress.com/item/1005001880818414.html,
8-inch Lazy Susan Bearing,1,10.0,https://www.amazon.com/Dailydanny-Aluminum-Rotating-Turntable-Dining-Table/dp/B0BTBR4PXP,
Optical Limit Switch,3,3.0,https://www.aliexpress.us/item/3256805576185168.html,
TOTAL,,356.1,,Sum of all items
